Shape,Bus_Type,Status,Establishm,Trade_Name,Address,Neighborhood,City,State,ZIP,Latitude_A,Longitude_,DE_LID_Num,License_Nu
Point,Drinking Establishment Type I,Approved,"PJ's, Inc.",Diamond's Jim Cafe,2002 Brownsville Road,Upper Lawrenceville,Pittsburgh,PA,15210,40.394849,-79.986963,34264,R-07753
Point,Drinking Establishment Type I,Approved,"Hoople's, Inc.",Hoople's,2350 Railroad Street - Suite 100,Upper Lawrenceville,Pittsburgh,PA,15210,40.390766,-79.985881,42584,R-10266
Point,Drinking Establishment Type I,Approved,"Doug's Den, Inc.",Doug's Den,2301-03 Brownsville Road,Upper Lawrenceville,Pittsburgh,PA,15210,40.389305,-79.985024,42585,R-12642
Point,Drinking Establishment Type I,Approved,"DeGiroma, Inc.",Rocco's Inn,7105 Harrison Avenue,West End,Pittsburgh,PA,15218,40.422197,-79.89766,52661,R-16665
Point,Drinking Establishment Type I,Approved,The Ezra X Association,,941 Liberty Ave 2nd Floor,West Oakland,Pittsburgh,PA,15222,40.443586,-79.996624,63329,CC-1489
Point,Drinking Establishment Type I,Approved,"JYR Enterprises, LLC.",,245 Fourth Avenue,West Wood,Pittsburgh,PA,15222,40.439691,-80.001548,61412,R-9750
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
